MedInc,HouseAge,AveRooms,target
5.2957,18.0,6.4839319470699435,1.719
1.9911,10.0,5.57566765578635,0.675
5.0912,44.0,6.457575757575758,1.698
5.0016,19.0,5.531431897555297,2.185
4.3214,41.0,5.84,5.00001
4.0375,29.0,6.447222222222222,0.864
8.8386,35.0,6.680965147453083,5.00001
1.8447,52.0,4.20985401459854,1.982
3.0288,37.0,4.275720164609053,1.614
3.1887,16.0,3.79831045406547,1.893
3.8194,34.0,5.034129692832765,1.86
10.7372,18.0,9.016112789526687,5.00001
1.8485,48.0,4.754385964912281,0.906
5.1046,27.0,6.094285714285714,2.098
5.3072,25.0,5.921409214092141,1.327
5.2015,6.0,5.69647847959754,2.042
2.7714,38.0,4.201612903225806,1.047
2.29,50.0,3.6545454545454548,1.218
4.7831,24.0,5.303875968992248,2.142
5.5596,52.0,6.380952380952381,5.00001
5.1249,48.0,6.155902004454343,4.324
3.2464,26.0,5.496774193548387,2.08
4.2066,7.0,5.732931726907631,0.884
3.7167,46.0,4.699822380106572,3.328
2.1953,15.0,5.164835164835165,0.75
2.7431,51.0,3.857142857142857,3.071
0.7025,19.0,2.425196850393701,5.00001
3.875,52.0,4.577319587628866,3.72
0.9675,36.0,4.7477203647416415,0.471
3.6845,32.0,4.326388888888889,1.785
2.9569,27.0,6.2330827067669174,0.659
2.4919,17.0,5.6078125,0.757
3.6827,34.0,5.197508896797153,2.641
6.7599,31.0,6.18780487804878,3.56
8.7991,10.0,9.287153652392947,4.785
2.4054,38.0,6.100719424460432,1.125
4.5375,18.0,8.629807692307692,1.698
6.9903,14.0,6.476584022038567,1.412
1.625,18.0,6.1347826086956525,0.947
7.2392,31.0,7.281889763779527,3.346
1.3611,18.0,4.79578947368421,0.606
1.5923,52.0,5.537423312883435,0.56
3.6719,52.0,5.465753424657534,2.279
3.2731,20.0,5.002502085070892,1.139
4.5337,31.0,5.524390243902439,3.067
3.0221,28.0,4.5943012211668925,2.901
4.8889,5.0,6.1587628865979385,1.389
2.5673,48.0,5.266187050359712,0.682
3.2135,4.0,5.764026402640264,2.127
2.4141,28.0,4.327169274537695,1.375
3.7837,14.0,4.275177304964539,1.603
3.2386,32.0,3.948170731707317,1.496
7.8588,34.0,7.176678445229682,4.548
1.9286,33.0,3.912772585669782,0.785
3.1455,16.0,5.118566176470588,1.429
5.8964,36.0,5.932489451476793,4.148
0.9566,52.0,4.260233918128655,0.69
2.7054,52.0,5.741214057507987,1.417
6.4504,35.0,5.2428884026258205,4.07
4.0686,18.0,3.433333333333333,3.786
3.8257,13.0,5.584026622296173,0.942
5.3016,33.0,6.123393316195373,1.922
2.325,24.0,5.186131386861314,1.573
4.9,5.0,5.215189873417722,2.556
5.4087,25.0,5.843501326259947,2.232
2.7875,30.0,4.707423580786026,2.45
5.5756,41.0,4.542857142857143,3.099
4.6852,52.0,5.509687034277198,3.952
6.348,34.0,4.989881956155143,5.00001
3.1953,15.0,5.178571428571429,0.857
2.6932,31.0,4.85,0.664
2.885,9.0,5.323108384458077,1.625
2.4706,22.0,5.232273838630807,0.894
3.0417,35.0,4.798507462686567,1.207
1.2679,30.0,4.607843137254902,0.92
4.635,36.0,6.693761814744802,2.486
2.5208,31.0,5.891156462585034,0.6
4.2143,33.0,5.41031941031941,2.242
8.1484,36.0,6.806691449814126,5.00001
4.3125,17.0,6.706131078224101,1.681
1.3329,40.0,4.28021978021978,0.782
5.4663,36.0,5.39647577092511,3.267
2.8173,32.0,5.327067669172933,1.108
1.0585,26.0,4.3622795115332424,0.451
1.5179,52.0,4.022662889518414,1.161
2.7212,40.0,4.691312384473198,1.079
3.5035,37.0,3.9386973180076628,2.386
2.5488,30.0,3.773170731707317,1.875
2.3814,28.0,4.370839936608558,1.123
4.4081,39.0,4.657360406091371,4.352
2.6929,16.0,4.942973523421589,1.193
4.3906,41.0,4.675097276264592,5.00001
1.3403,43.0,4.2,1.108
2.7634,37.0,1.4112903225806452,1.375
4.433,34.0,4.988394584139265,2.351
3.2857,37.0,4.712962962962963,1.301
4.85,7.0,6.278894472361809,1.869
2.1484,19.0,5.235973597359736,1.292
1.9018,39.0,4.127906976744186,1.375
3.375,47.0,4.473684210526316,1.983
3.0052,29.0,4.453551912568306,1.667
6.9014,21.0,8.379576107899807,4.39
4.5208,33.0,5.502808988764045,1.142
7.6344,14.0,7.662068965517242,2.905
4.075,49.0,5.361305361305361,2.288
5.6356,33.0,5.660899653979238,2.413
6.1949,26.0,6.844978165938865,2.435
3.0598,13.0,4.310055865921788,0.997
4.5547,10.0,6.28,1.607
2.0474,5.0,4.378132118451025,0.613
7.1736,12.0,6.289002557544757,2.621
9.3399,36.0,8.251336898395722,5.00001
3.6442,17.0,4.584586466165414,1.931
2.4537,10.0,5.583333333333333,1.179
3.6187,34.0,4.4124748490945676,2.116
5.4925,26.0,6.220159151193634,3.617
2.6902,25.0,6.671875,2.125
4.3962,11.0,7.306581059390048,2.644
3.8068,29.0,4.45578231292517,1.587
2.9506,35.0,5.063457330415755,0.738
6.6437,25.0,7.331775700934579,2.961
2.7917,40.0,4.173333333333333,2.25
2.3187,34.0,5.184729064039409,4.889
5.8527,22.0,6.309486780715397,2.41
2.875,44.0,5.434650455927052,1.334
5.1314,15.0,29.074766355140188,1.792
6.0398,19.0,6.658031088082901,2.178
3.6875,11.0,5.486486486486487,1.126
1.9583,41.0,3.719367588932806,1.023
3.6083,16.0,5.720486111111111,1.464
4.7708,44.0,4.767123287671233,2.538
2.4286,25.0,4.0462633451957295,2.333
3.4784,32.0,5.223880597014926,1.544
3.8281,3.0,7.980769230769231,1.635
2.6,36.0,3.766899766899767,3.136
2.569,9.0,4.325549450549451,0.883
2.1458,22.0,5.287610619469026,0.847
4.7891,28.0,4.578274760383387,1.848
1.2969,44.0,4.398255813953488,0.944
2.1864,17.0,5.818443804034582,1.019
5.3678,7.0,7.38625,2.317
3.9722,21.0,17.25,1.278
2.125,37.0,4.919431279620853,0.919
2.3281,44.0,4.7952755905511815,0.888
5.131,17.0,6.071104387291982,1.483
4.0962,20.0,4.034090909090909,2.141
2.888,50.0,5.105812220566319,2.464
3.038,17.0,4.54228855721393,2.385
4.5368,18.0,4.027256208358571,3.074
1.9875,30.0,5.005763688760807,0.564
2.5769,27.0,3.78772378516624,1.375
3.6583,18.0,5.3292011019283745,1.261
2.3654,49.0,4.686046511627907,1.375
2.1287,30.0,5.876168224299065,0.95
2.5506,23.0,3.6280701754385967,2.308
1.6898,38.0,3.907042253521127,0.951
7.866,36.0,6.656957928802589,5.00001
3.8214,24.0,5.733668341708543,1.161
2.9392,46.0,3.8774038461538463,2.303
3.7589,26.0,5.5537459283387625,1.137
3.4837,35.0,4.672316384180791,1.865
2.8,27.0,4.420494699646643,3.53
4.7778,52.0,5.269360269360269,3.518
4.1062,52.0,4.611111111111111,2.529
4.9205,31.0,5.820359281437126,2.405
7.4351,18.0,8.44836956521739,4.457
3.2609,22.0,3.6596638655462184,5.00001
15.0001,52.0,8.483018867924528,5.00001
1.8981,31.0,3.3230641132389676,5.00001
3.5128,23.0,5.177777777777778,1.216
3.3026,9.0,5.370542635658914,1.191
3.0221,38.0,4.497584541062802,0.933
3.1142,12.0,5.5385915492957745,1.126
4.1865,25.0,6.03139534883721,1.543
4.0417,23.0,10.639455782312925,0.993
4.4292,17.0,4.950965824665676,2.312
3.7312,31.0,4.635021097046414,3.194
4.5764,17.0,6.6496519721577725,2.573
3.6625,38.0,5.612612612612613,1.846
3.4091,14.0,3.9069148936170213,1.688
2.6218,49.0,4.2912457912457915,3.509
2.564,32.0,4.18655462184874,1.458
3.9423,39.0,5.5096525096525095,1.803
3.5161,45.0,4.662269129287599,1.57
2.0938,39.0,5.59433962264151,0.796
1.8696,52.0,4.62962962962963,0.911
3.0465,34.0,4.754137115839243,1.878
3.5156,44.0,5.466911764705882,1.095
4.4038,45.0,4.571847507331379,2.594
